"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR"
"225",0011-02-18,"Barcelona","Getafe",0,0,"D"
"226",0011-02-18,"Celta","Espanol",2,2,"D"
"227",0011-02-18,"Sevilla","Girona",1,0,"H"
"228",0011-02-18,"Valencia","Levante",3,1,"H"
"229",0012-02-18,"La Coruna","Betis",0,1,"A"
"230",0016-02-18,"Girona","Leganes",3,0,"H"
"231",0017-02-18,"Alaves","La Coruna",1,0,"H"
"232",0017-02-18,"Eibar","Barcelona",0,2,"A"
"233",0017-02-18,"Las Palmas","Sevilla",1,2,"A"
"234",0017-02-18,"Malaga","Valencia",1,2,"A"
"235",0018-02-18,"Ath Madrid","Ath Bilbao",2,0,"H"
"236",0018-02-18,"Betis","Real Madrid",3,5,"A"
"237",0018-02-18,"Espanol","Villarreal",1,1,"D"
"238",0018-02-18,"Sociedad","Levante",3,0,"H"
"239",0019-02-18,"Getafe","Celta",3,0,"H"
"240",0021-02-18,"Leganes","Real Madrid",1,3,"A"
"241",0023-02-18,"La Coruna","Espanol",0,0,"D"
"242",0024-02-18,"Barcelona","Girona",6,1,"H"
"243",0024-02-18,"Celta","Eibar",2,0,"H"
"244",0024-02-18,"Leganes","Las Palmas",0,0,"D"
"245",0024-02-18,"Real Madrid","Alaves",4,0,"H"
"246",0025-02-18,"Ath Bilbao","Malaga",2,1,"H"
"247",0025-02-18,"Sevilla","Ath Madrid",2,5,"A"
"248",0025-02-18,"Valencia","Sociedad",2,1,"H"
"249",0025-02-18,"Villarreal","Getafe",1,0,"H"
"250",0026-02-18,"Levante","Betis",0,2,"A"
"251",0027-02-18,"Espanol","Real Madrid",1,0,"H"
"252",0027-02-18,"Girona","Celta",1,0,"H"
"253",0028-02-18,"Ath Bilbao","Valencia",1,1,"D"
"254",0028-02-18,"Ath Madrid","Leganes",4,0,"H"
"255",0028-02-18,"Eibar","Villarreal",1,0,"H"
"256",0028-02-18,"Getafe","La Coruna",3,0,"H"
"257",0028-02-18,"Malaga","Sevilla",0,1,"A"
"258",0001-03-18,"Alaves","Levante",1,0,"H"
"259",0001-03-18,"Betis","Sociedad",0,0,"D"
"260",0001-03-18,"Las Palmas","Barcelona",1,1,"D"
"261",0003-03-18,"La Coruna","Eibar",1,1,"D"
"262",0003-03-18,"Leganes","Malaga",2,0,"H"
"263",0003-03-18,"Real Madrid","Getafe",3,1,"H"
"264",0003-03-18,"Sevilla","Ath Bilbao",2,0,"H"
"265",0003-03-18,"Villarreal","Girona",0,2,"A"
"266",0004-03-18,"Barcelona","Ath Madrid",1,0,"H"
"267",0004-03-18,"Levante","Espanol",1,1,"D"
"268",0004-03-18,"Sociedad","Alaves",2,1,"H"
"269",0004-03-18,"Valencia","Betis",2,0,"H"
"270",0005-03-18,"Celta","Las Palmas",2,1,"H"
"271",0009-03-18,"Girona","La Coruna",2,0,"H"
"272",0010-03-18,"Eibar","Real Madrid",1,2,"A"
"273",0010-03-18,"Getafe","Levante",0,1,"A"
"274",0010-03-18,"Malaga","Barcelona",0,2,"A"
"275",0010-03-18,"Sevilla","Valencia",0,2,"A"
"276",0011-03-18,"Ath Bilbao","Leganes",2,0,"H"
"277",0011-03-18,"Ath Madrid","Celta",3,0,"H"
"278",0011-03-18,"Espanol","Sociedad",2,1,"H"
"279",0011-03-18,"Las Palmas","Villarreal",0,2,"A"
"280",0012-03-18,"Alaves","Betis",1,3,"A"
"281",0016-03-18,"Levante","Eibar",2,1,"H"
"282",0017-03-18,"Betis","Espanol",3,0,"H"
"283",0017-03-18,"La Coruna","Las Palmas",1,1,"D"
"284",0017-03-18,"Sociedad","Getafe",1,2,"A"
"285",0017-03-18,"Valencia","Alaves",3,1,"H"
"286",0018-03-18,"Barcelona","Ath Bilbao",2,0,"H"
"287",0018-03-18,"Celta","Malaga",0,0,"D"
"288",0018-03-18,"Leganes","Sevilla",2,1,"H"
"289",0018-03-18,"Real Madrid","Girona",6,3,"H"
"290",0018-03-18,"Villarreal","Ath Madrid",2,1,"H"
"291",0031-03-18,"Ath Bilbao","Celta",1,1,"D"
"292",0031-03-18,"Girona","Levante",1,1,"D"
"293",0031-03-18,"Las Palmas","Real Madrid",0,3,"A"
"294",0031-03-18,"Sevilla","Barcelona",2,2,"D"
"295",0001-04-18,"Ath Madrid","La Coruna",1,0,"H"
"296",0001-04-18,"Eibar","Sociedad",0,0,"D"
"297",0001-04-18,"Espanol","Alaves",0,0,"D"
"298",0001-04-18,"Leganes","Valencia",0,1,"A"
"299",0001-04-18,"Malaga","Villarreal",1,0,"H"
"300",0002-04-18,"Getafe","Betis",0,1,"A"
"301",0006-04-18,"La Coruna","Malaga",3,2,"H"
"302",0007-04-18,"Alaves","Getafe",2,0,"H"
"303",0007-04-18,"Barcelona","Leganes",3,1,"H"
"304",0007-04-18,"Betis","Eibar",2,0,"H"
"305",0007-04-18,"Celta","Sevilla",4,0,"H"
"306",0008-04-18,"Levante","Las Palmas",2,1,"H"
"307",0008-04-18,"Real Madrid","Ath Madrid",1,1,"D"
"308",0008-04-18,"Sociedad","Girona",5,0,"H"
"309",0008-04-18,"Valencia","Espanol",1,0,"H"
"310",0009-04-18,"Villarreal","Ath Bilbao",1,3,"A"
"311",0013-04-18,"Girona","Betis",0,1,"A"
"312",0014-04-18,"Ath Bilbao","La Coruna",2,3,"A"
"313",0014-04-18,"Barcelona","Valencia",2,1,"H"
"314",0014-04-18,"Las Palmas","Sociedad",0,1,"A"
"315",0014-04-18,"Leganes","Celta",1,0,"H"
"316",0014-04-18,"Sevilla","Villarreal",2,2,"D"
"317",0015-04-18,"Ath Madrid","Levante",3,0,"H"
"318",0015-04-18,"Eibar","Alaves",0,1,"A"
"319",0015-04-18,"Getafe","Espanol",1,0,"H"
"320",0015-04-18,"Malaga","Real Madrid",1,2,"A"
"321",0017-04-18,"Celta","Barcelona",2,2,"D"
"322",0017-04-18,"La Coruna","Sevilla",0,0,"D"
"323",0017-04-18,"Villarreal","Leganes",2,1,"H"
"324",0018-04-18,"Espanol","Eibar",0,1,"A"
"325",0018-04-18,"Real Madrid","Ath Bilbao",1,1,"D"
"326",0018-04-18,"Valencia","Getafe",1,2,"A"
"327",0019-04-18,"Alaves","Girona",1,2,"A"
"328",0019-04-18,"Betis","Las Palmas",1,0,"H"
"329",0019-04-18,"Levante","Malaga",1,0,"H"
"330",0019-04-18,"Sociedad","Ath Madrid",3,0,"H"
"331",0020-04-18,"Leganes","La Coruna",0,0,"D"
"332",0021-04-18,"Celta","Valencia",1,1,"D"
"333",0021-04-18,"Eibar","Getafe",0,1,"A"
"334",0022-04-18,"Ath Madrid","Betis",0,0,"D"
"335",0022-04-18,"Girona","Espanol",0,2,"A"
"336",0022-04-18,"Las Palmas","Alaves",0,4,"A"
"337",0022-04-18,"Malaga","Sociedad",2,0,"H"
"338",0023-04-18,"Ath Bilbao","Levante",1,3,"A"
"339",0027-04-18,"Levante","Sevilla",2,1,"H"
"340",0028-04-18,"Espanol","Las Palmas",1,1,"D"
"341",0028-04-18,"Real Madrid","Leganes",2,1,"H"
"342",0028-04-18,"Sociedad","Ath Bilbao",3,1,"H"
"343",0028-04-18,"Villarreal","Celta",4,1,"H"
"344",0029-04-18,"Alaves","Ath Madrid",0,1,"A"
"345",0029-04-18,"Getafe","Girona",1,1,"D"
"346",0029-04-18,"La Coruna","Barcelona",2,4,"A"
"347",0029-04-18,"Valencia","Eibar",0,0,"D"
"348",0030-04-18,"Betis","Malaga",2,1,"H"
"349",0004-05-18,"Sevilla","Sociedad",1,0,"H"
"350",0005-05-18,"Ath Bilbao","Betis",2,0,"H"
"351",0005-05-18,"Celta","La Coruna",1,1,"D"
"352",0005-05-18,"Girona","Eibar",1,4,"A"
"353",0005-05-18,"Villarreal","Valencia",1,0,"H"
"354",0006-05-18,"Ath Madrid","Espanol",0,2,"A"
"355",0006-05-18,"Barcelona","Real Madrid",2,2,"D"
"356",0006-05-18,"Las Palmas","Getafe",0,1,"A"
"357",0006-05-18,"Malaga","Alaves",0,3,"A"
"358",0007-05-18,"Leganes","Levante",0,3,"A"
"359",0009-05-18,"Barcelona","Villarreal",5,1,"H"
"360",0009-05-18,"Sevilla","Real Madrid",3,2,"H"
"361",0012-05-18,"Alaves","Ath Bilbao",3,1,"H"
"362",0012-05-18,"Betis","Sevilla",2,2,"D"
"363",0012-05-18,"Eibar","Las Palmas",1,0,"H"
"364",0012-05-18,"Getafe","Ath Madrid",0,1,"A"
"365",0012-05-18,"Girona","Valencia",0,1,"A"
"366",0012-05-18,"La Coruna","Villarreal",2,4,"A"
"367",0012-05-18,"Real Madrid","Celta",6,0,"H"
"368",0012-05-18,"Sociedad","Leganes",3,2,"H"
"369",0013-05-18,"Espanol","Malaga",4,1,"H"
"370",0013-05-18,"Levante","Barcelona",5,4,"H"
"371",0019-05-18,"Celta","Levante",4,2,"H"
"372",0019-05-18,"Las Palmas","Girona",1,2,"A"
"373",0019-05-18,"Leganes","Betis",3,2,"H"
"374",0019-05-18,"Malaga","Getafe",0,1,"A"
"375",0019-05-18,"Sevilla","Alaves",1,0,"H"
"376",0019-05-18,"Villarreal","Real Madrid",2,2,"D"
"377",0020-05-18,"Ath Bilbao","Espanol",0,1,"A"
"378",0020-05-18,"Ath Madrid","Eibar",2,2,"D"
"379",0020-05-18,"Barcelona","Sociedad",1,0,"H"
"380",0020-05-18,"Valencia","La Coruna",2,1,"H"
"381",0017-08-20,"Betis","Levante",0,3,"A"
"382",0017-08-20,"Girona","Valladolid",0,0,"D"
"383",0018-08-20,"Barcelona","Alaves",3,0,"H"
"384",0018-08-20,"Celta","Espanol",1,1,"D"
"385",0018-08-20,"Villarreal","Sociedad",1,2,"A"
"386",0019-08-20,"Eibar","Huesca",1,2,"A"
"387",0019-08-20,"Real Madrid","Getafe",2,0,"H"
"388",0019-08-20,"Vallecano","Sevilla",1,4,"A"
"389",0020-08-20,"Ath Bilbao","Leganes",2,1,"H"
"390",0020-08-20,"Valencia","Ath Madrid",1,1,"D"
"391",0024-08-20,"Getafe","Eibar",2,0,"H"
"392",0024-08-20,"Leganes","Sociedad",2,2,"D"
"393",0025-08-20,"Alaves","Betis",0,0,"D"
"394",0025-08-20,"Ath Madrid","Vallecano",1,0,"H"
"395",0025-08-20,"Valladolid","Barcelona",0,1,"A"
"396",0026-08-20,"Espanol","Valencia",2,0,"H"
"397",0026-08-20,"Girona","Real Madrid",1,4,"A"
"398",0026-08-20,"Sevilla","Villarreal",0,0,"D"
"399",0027-08-20,"Ath Bilbao","Huesca",2,2,"D"
"400",0027-08-20,"Levante","Celta",1,2,"A"
"401",0031-08-20,"Eibar","Sociedad",2,1,"H"
"402",0031-08-20,"Getafe","Valladolid",0,0,"D"
"403",0031-08-20,"Villarreal","Girona",0,1,"A"
"404",0001-09-20,"Celta","Ath Madrid",2,0,"H"
"405",0001-09-20,"Real Madrid","Leganes",4,1,"H"
"406",0002-09-20,"Alaves","Espanol",2,1,"H"
"407",0002-09-20,"Barcelona","Huesca",8,2,"H"
"408",0002-09-20,"Betis","Sevilla",1,0,"H"
"409",0002-09-20,"Levante","Valencia",2,2,"D"
"410",0014-09-20,"Huesca","Vallecano",0,1,"A"
"411",0015-09-20,"Ath Bilbao","Real Madrid",1,1,"D"
"412",0015-09-20,"Ath Madrid","Eibar",1,1,"D"
"413",0015-09-20,"Sociedad","Barcelona",1,2,"A"
"414",0015-09-20,"Valencia","Betis",0,0,"D"
"415",0016-09-20,"Espanol","Levante",1,0,"H"
"416",0016-09-20,"Leganes","Villarreal",0,1,"A"
"417",0016-09-20,"Sevilla","Getafe",0,2,"A"
"418",0016-09-20,"Valladolid","Alaves",0,1,"A"
"419",0017-09-20,"Girona","Celta",3,2,"H"
"420",0021-09-20,"Huesca","Sociedad",0,1,"A"
"421",0022-09-20,"Celta","Valladolid",3,3,"D"
"422",0022-09-20,"Eibar","Leganes",1,0,"H"
"423",0022-09-20,"Getafe","Ath Madrid",0,2,"A"
"424",0022-09-20,"Real Madrid","Espanol",1,0,"H"
"425",0022-09-20,"Vallecano","Alaves",1,5,"A"
"426",0023-09-20,"Barcelona","Girona",2,2,"D"
"427",0023-09-20,"Betis","Ath Bilbao",2,2,"D"
"428",0023-09-20,"Levante","Sevilla",2,6,"A"
"429",0023-09-20,"Villarreal","Valencia",0,0,"D"
"430",0025-09-20,"Ath Madrid","Huesca",3,0,"H"
"431",0025-09-20,"Espanol","Eibar",1,0,"H"
"432",0025-09-20,"Sociedad","Vallecano",2,2,"D"
"433",0026-09-20,"Ath Bilbao","Villarreal",0,3,"A"
"434",0026-09-20,"Leganes","Barcelona",2,1,"H"
"435",0026-09-20,"Sevilla","Real Madrid",3,0,"H"
"436",0026-09-20,"Valencia","Celta",1,1,"D"
"437",0027-09-20,"Alaves","Getafe",1,1,"D"
"438",0027-09-20,"Girona","Betis",0,1,"A"
"439",0027-09-20,"Valladolid","Levante",2,1,"H"
"440",0028-09-20,"Vallecano","Espanol",2,2,"D"
"441",0029-09-20,"Barcelona","Ath Bilbao",1,1,"D"
"442",0029-09-20,"Eibar","Sevilla",1,3,"A"
"443",0029-09-20,"Real Madrid","Ath Madrid",0,0,"D"
"444",0029-09-20,"Sociedad","Valencia",0,1,"A"
"445",0030-09-20,"Betis","Leganes",1,0,"H"
"446",0030-09-20,"Huesca","Girona",1,1,"D"
"447",0030-09-20,"Levante","Alaves",2,1,"H"
"448",0030-09-20,"Villarreal","Valladolid",0,1,"A"
"449",0001-10-20,"Celta","Getafe",1,1,"D"
"450",0005-10-20,"Ath Bilbao","Sociedad",1,3,"A"
"451",0006-10-20,"Alaves","Real Madrid",1,0,"H"
"452",0006-10-20,"Getafe","Levante",0,1,"A"
"453",0006-10-20,"Girona","Eibar",2,3,"A"
