"date","home.team","home.score","away.team","away.score"
"0031-08-20","Eibar",2,"Sociedad",1
"0031-08-20","Getafe",0,"Valladolid",0
"0031-08-20","Villarreal",0,"Girona",1
"0001-09-20","Celta",2,"Ath Madrid",0
"0001-09-20","Real Madrid",4,"Leganes",1
"0002-09-20","Alaves",2,"Espanol",1
"0002-09-20","Barcelona",8,"Huesca",2
"0002-09-20","Betis",1,"Sevilla",0
"0002-09-20","Levante",2,"Valencia",2
"0014-09-20","Huesca",0,"Vallecano",1
"0015-09-20","Ath Bilbao",1,"Real Madrid",1
"0015-09-20","Ath Madrid",1,"Eibar",1
"0015-09-20","Sociedad",1,"Barcelona",2
"0015-09-20","Valencia",0,"Betis",0
"0016-09-20","Espanol",1,"Levante",0
"0016-09-20","Leganes",0,"Villarreal",1
"0016-09-20","Sevilla",0,"Getafe",2
"0016-09-20","Valladolid",0,"Alaves",1
"0017-09-20","Girona",3,"Celta",2
"0021-09-20","Huesca",0,"Sociedad",1
"0022-09-20","Celta",3,"Valladolid",3
"0022-09-20","Eibar",1,"Leganes",0
"0022-09-20","Getafe",0,"Ath Madrid",2
"0022-09-20","Real Madrid",1,"Espanol",0
"0022-09-20","Vallecano",1,"Alaves",5
"0023-09-20","Barcelona",2,"Girona",2
"0023-09-20","Betis",2,"Ath Bilbao",2
"0023-09-20","Levante",2,"Sevilla",6
"0023-09-20","Villarreal",0,"Valencia",0
"0025-09-20","Ath Madrid",3,"Huesca",0
"0025-09-20","Espanol",1,"Eibar",0
"0025-09-20","Sociedad",2,"Vallecano",2
"0026-09-20","Ath Bilbao",0,"Villarreal",3
"0026-09-20","Leganes",2,"Barcelona",1
"0026-09-20","Sevilla",3,"Real Madrid",0
"0026-09-20","Valencia",1,"Celta",1
"0027-09-20","Alaves",1,"Getafe",1
"0027-09-20","Girona",0,"Betis",1
"0027-09-20","Valladolid",2,"Levante",1
"0028-09-20","Vallecano",2,"Espanol",2
"0029-09-20","Barcelona",1,"Ath Bilbao",1
"0029-09-20","Eibar",1,"Sevilla",3
"0029-09-20","Real Madrid",0,"Ath Madrid",0
"0029-09-20","Sociedad",0,"Valencia",1
"0030-09-20","Betis",1,"Leganes",0
"0030-09-20","Huesca",1,"Girona",1
"0030-09-20","Levante",2,"Alaves",1
"0030-09-20","Villarreal",0,"Valladolid",1
"0001-10-20","Celta",1,"Getafe",1
"0005-10-20","Ath Bilbao",1,"Sociedad",3
"0006-10-20","Alaves",1,"Real Madrid",0
"0006-10-20","Getafe",0,"Levante",1
"0006-10-20","Girona",2,"Eibar",3
"0006-10-20","Leganes",1,"Vallecano",0
"0007-10-20","Ath Madrid",1,"Betis",0
"0007-10-20","Espanol",3,"Villarreal",1
"0007-10-20","Sevilla",2,"Celta",1
"0007-10-20","Valencia",1,"Barcelona",1
"0007-10-20","Valladolid",1,"Huesca",0
"0019-10-20","Celta",0,"Alaves",1
"0020-10-20","Barcelona",4,"Sevilla",2
"0020-10-20","Real Madrid",1,"Levante",2
"0020-10-20","Valencia",1,"Leganes",1
"0020-10-20","Villarreal",1,"Ath Madrid",1
"0021-10-20","Betis",0,"Valladolid",1
"0021-10-20","Eibar",1,"Ath Bilbao",1
"0021-10-20","Huesca",0,"Espanol",2
"0021-10-20","Vallecano",1,"Getafe",2
"0022-10-20","Sociedad",0,"Girona",0
"0024-10-20","Vallecano",1,"Ath Bilbao",1
"0026-10-20","Valladolid",1,"Espanol",1
"0027-10-20","Ath Bilbao",0,"Valencia",0
"0027-10-20","Ath Madrid",2,"Sociedad",0
"0027-10-20","Celta",4,"Eibar",0
"0027-10-20","Girona",2,"Vallecano",1
"0027-10-20","Levante",2,"Leganes",0
"0028-10-20","Alaves",2,"Villarreal",1
"0028-10-20","Barcelona",5,"Real Madrid",1
"0028-10-20","Getafe",2,"Betis",0
"0028-10-20","Sevilla",2,"Huesca",1
"0003-11-20","Leganes",1,"Ath Madrid",1
"0003-11-20","Real Madrid",2,"Valladolid",0
"0003-11-20","Valencia",0,"Girona",1
"0003-11-20","Vallecano",2,"Barcelona",3
"0004-11-20","Betis",3,"Celta",3
"0004-11-20","Eibar",2,"Alaves",1
"0004-11-20","Huesca",1,"Getafe",1
"0004-11-20","Sociedad",0,"Sevilla",0
"0004-11-20","Villarreal",1,"Levante",1
"0005-11-20","Espanol",1,"Ath Bilbao",0
"0009-11-20","Levante",1,"Sociedad",3
"0010-11-20","Ath Madrid",3,"Ath Bilbao",2
"0010-11-20","Getafe",0,"Valencia",1
"0010-11-20","Girona",0,"Leganes",0
"0010-11-20","Valladolid",0,"Eibar",0
"0011-11-20","Alaves",2,"Huesca",1
"0011-11-20","Barcelona",3,"Betis",4
"0011-11-20","Celta",2,"Real Madrid",4
"0011-11-20","Sevilla",2,"Espanol",1
"0011-11-20","Vallecano",2,"Villarreal",2
"0023-11-20","Leganes",1,"Alaves",0
"0024-11-20","Ath Madrid",1,"Barcelona",1
"0024-11-20","Eibar",3,"Real Madrid",0
"0024-11-20","Huesca",2,"Levante",2
"0024-11-20","Valencia",3,"Vallecano",0
"0025-11-20","Ath Bilbao",1,"Getafe",1
"0025-11-20","Espanol",1,"Girona",3
"0025-11-20","Sevilla",1,"Valladolid",0
"0025-11-20","Villarreal",2,"Betis",1
"0026-11-20","Sociedad",2,"Celta",1
"0030-11-20","Vallecano",1,"Eibar",0
"0001-12-20","Celta",2,"Huesca",0
"0001-12-20","Getafe",3,"Espanol",0
"0001-12-20","Real Madrid",2,"Valencia",0
"0001-12-20","Valladolid",2,"Leganes",4
"0002-12-20","Alaves",1,"Sevilla",1
"0002-12-20","Barcelona",2,"Villarreal",0
"0002-12-20","Betis",1,"Sociedad",0
"0002-12-20","Girona",1,"Ath Madrid",1
"0003-12-20","Levante",3,"Ath Bilbao",0
"0007-12-20","Leganes",1,"Getafe",1
"0008-12-20","Ath Madrid",3,"Alaves",0
"0008-12-20","Espanol",0,"Barcelona",4
"0008-12-20","Valencia",1,"Sevilla",1
"0008-12-20","Villarreal",2,"Celta",3
"0009-12-20","Betis",2,"Vallecano",0
"0009-12-20","Eibar",4,"Levante",4
"0009-12-20","Huesca",0,"Real Madrid",1
"0009-12-20","Sociedad",1,"Valladolid",2
"0010-12-20","Ath Bilbao",1,"Girona",0
"0014-12-20","Celta",0,"Leganes",0
"0015-12-20","Eibar",1,"Valencia",1
"0015-12-20","Getafe",1,"Sociedad",0
"0015-12-20","Real Madrid",1,"Vallecano",0
"0015-12-20","Valladolid",2,"Ath Madrid",3
"0016-12-20","Espanol",1,"Betis",3
"0016-12-20","Huesca",2,"Villarreal",2
"0016-12-20","Levante",0,"Barcelona",5
"0016-12-20","Sevilla",2,"Girona",0
"0017-12-20","Alaves",0,"Ath Bilbao",0
"0021-12-20","Girona",1,"Getafe",1
"0021-12-20","Sociedad",0,"Alaves",1
"0022-12-20","Ath Bilbao",1,"Valladolid",1
"0022-12-20","Ath Madrid",1,"Espanol",0
"0022-12-20","Barcelona",2,"Celta",0
"0022-12-20","Betis",1,"Eibar",1
"0023-12-20","Leganes",1,"Sevilla",1
"0023-12-20","Valencia",2,"Huesca",1
"0023-12-20","Vallecano",2,"Levante",1
"0003-01-20","Villarreal",2,"Real Madrid",2
"0004-01-20","Espanol",1,"Leganes",0
"0004-01-20","Levante",2,"Girona",2
"0005-01-20","Alaves",2,"Valencia",1
"0005-01-20","Huesca",2,"Betis",1
